표제어	품사	세종태그	어깨번호	뜻풀이	지역
뜨루샘	[명사][방언]	NNG	00_00_00	두레우물	12
뜨룸박	[명사][방언]	NNG	00_00_00	두레박	12
뜨물	[명사][방언]	NNG	02_00_00	진딧물	4, 6, 7, 9, 11, 12
뜨벵이	[명사][방언]	NNG	02_00_00	촌뜨기	11, 12
뜬물	[명사][방언]	NNG	02_00_01	진딧물	4, 12
뜰깨	[명사][방언]	NNG	00_00_00	들깨	5, 7, 12
뜰막	[명사][방언]	NNG	00_00_00	뜰	12
뜰보	[명사][방언]	NNG	00_00_00	들보	7, 12
뜰부다	[형용사][방언]	VA	00_00_00	떫다	12
뜰지름	[명사][방언]	NNG	00_00_00	들기름	12
뜰팡	[명사][방언]	NNG	00_00_01	뜰	4, 9, 11, 12
뜰팡	[명사][방언]	NNG	00_00_02	토방	4, 11, 12
뜳다	[형용사][방언]	VA	00_00_00	떫다	4, 12
뜸메	[명사][방언]	NNG	00_00_00	반두	11, 12
뜸메질	[명사][방언]	NNG	00_00_00	반두질	11, 12
뜸비기	[명사][방언]	NNG	00_00_00	뜸부기	5, 6, 7, 9, 11, 12
뜸뿍	[부사][방언]	MAG	00_00_00	듬뿍	4, 12
뜽바우	[명사][방언]	NNG	00_00_00	자가사리	11, 12
띧그다	[동사][방언]	VV	00_00_00	뜯기다	12
리아까	[명사][방언]	NNG	00_00_00	리어카	11, 12
마간	[명사][방언]	NNG	00_00_00	마구간	5, 9, 12
마대이	[명사][방언]	NNG	01_00_00	마당	4, 7, 8, 9, 12
마랑구	[명사][방언]	NNG	00_00_00	기름	6, 7, 8, 10, 11, 12, 14
마루테기	[명사][방언]	NNG	00_00_00	마루터기	6, 11, 12, 14
마른버둠	[명사][방언]	NNG	00_00_00	마른버짐	11, 12
마른버듬	[명사][방언]	NNG	00_00_00	마른버짐	9, 11, 12
마른버짐이	[명사][방언]	NNG	00_00_00	마른버짐	4, 12
마른보짐	[명사][방언]	NNG	00_00_00	마른버짐	5, 12
마른봄	[명사][방언]	NNG	00_00_00	보릿고개	11, 12
마리	[명사][방언]	NNG	02_00_00	마루	4, 6, 7, 9, 10, 11, 12
마리방	[명사][방언]	NNG	00_00_00	마루방	10, 12
마린버짐	[명사][방언]	NNG	00_00_00	마른버짐	9, 11, 12
마방깐	[명사][방언]	NNG	00_00_00	마구간	11, 12
마부간	[명사][방언]	NNG	00_00_00	마구간	5, 9, 11, 12
마부리	[명사][방언]	NNG	00_00_00	구슬	7, 11, 12
마빼기	[명사][방언]	NNG	00_00_00	마빡	11, 12
마실	[명사][방언]	NNG	01_00_01	마을	4, 6, 7, 11, 12
마아지	[명사][방언]	NNG	00_00_00	망아지	4, 6, 7, 8, 9, 10, 11, 12
마은	[수사][관형사][방언]	NR	00_00_00	마흔	4, 6, 7, 8, 9, 11, 12, 15, 16, 18
마음씀새	[명사][방언]	NNG	00_00_00	마음새	11, 12
마음씨갈	[명사][방언]	NNG	00_00_00	마음씨	11, 12
마이	[부사][방언]	MAG	00_00_00	많이	4, 6, 12
마훈	[수사][관형사][방언]	NR	00_00_00	마흔	6, 8, 9, 11, 12
막내동상	[명사][방언]	NNG	00_00_00	막내아우	11, 12
막냉이	[명사][방언]	NNG	00_00_00	막내	4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18, 19, 20
막대기	[명사][방언]	NNG	02_00_00	꼬챙이	12
막동무니	[명사][방언]	NNG	00_00_00	막동	5, 9, 12
막동무이	[명사][방언]	NNG	00_00_00	막동	12
막동사니	[명사][방언]	NNG	01_00_00	막동	5, 8, 9, 12
막떡	[명사][방언]	NNG	00_00_00	개떡	12
만지키다	[동사][방언]	VV	00_00_00	만지다	12
맏손구락	[명사][방언]	NNG	00_00_00	엄지손가락	12
말강대	[명사][방언]	NNG	00_00_00	광대	6, 7, 9, 11, 12
말겨룸	[명사][방언]	NNG	00_00_00	말다툼	11, 12
말꼬로미	[부사][방언]	MAG	00_00_00	물끄러미	12
말꼬지	[명사][방언]	NNG	01_00_00	말코지	11, 12
말끄르미	[부사][방언]	MAG	00_00_00	물끄러미	11, 12
말농사	[명사][방언]	NNG	00_00_00	말치레	11, 12
말때찡기미	[명사][방언]	NNG	00_00_00	징거미새우	12
말르다	[동사][방언]	VV	01_00_00	마르다	10, 11, 12
말르다	[동사][방언]	VV	02_00_00	마르다	9, 10, 11, 12
말른버즘	[명사][방언]	NNG	00_00_00	마른버짐	12
말름	[명사][방언]	NNG	00_00_00	마름	12
말바다리	[명사][방언]	NNG	00_00_00	말벌	12
말반죽	[명사][방언]	NNG	00_00_00	말본새	11, 12
말밤	[명사][방언]	NNG	00_00_00	마름	4, 6, 7, 12
말방이	[명사][방언]	NNG	02_00_00	마름	11, 12, 18
말번새	[명사][방언]	NNG	00_00_00	말본새	11, 12
말볌	[명사][방언]	NNG	00_00_00	군말	11, 12
말살스럽다	[형용사][방언]	VA	00_00_00	말쌀스럽다	11, 12
말새끼	[명사][방언]	NNG	00_00_00	망아지	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
말싸래기	[명사][방언]	NNG	00_00_00	입속말	11, 12
말씹단추	[명사][방언]	NNG	00_00_00	개씹단추	11, 12
말입	[명사][방언]	NNG	00_00_00	말적수	11, 12
말징게미	[명사][방언]	NNG	00_00_00	징거미새우	12
말푸대	[명사][방언]	NNG	00_00_00	말보	11, 12
말풀	[명사][방언]	NNG	02_00_00	토끼풀	12, 15, 16
망두렁	[명사][방언]	NNG	00_00_00	밭둑	11, 12
망아치	[명사][방언]	NNG	00_00_00	망아지	8, 9, 11, 12
망탱이	[명사][방언]	NNG	00_00_00	망태기	8, 11, 12
매	[명사][방언]	NNG	11_00_00	물때	11, 12
매가꾸다	[동사][방언]	VV	00_00_00	경작하다	11, 12
매기	[명사][방언]	NNG	04_00_00	밑천	11, 12
매꼰하다	[형용사][방언]	VA	00_00_00	때꾼하다	11, 12
매동가지	[명사][방언]	NNG	00_00_00	마디	12
매등가리	[명사][방언]	NNG	00_00_00	마디	4, 12
매디	[명사][방언]	NNG	00_00_02	마디	4, 5, 12, 15
매딸리다	[동사][방언]	VV	00_00_00	매달리다	12
매란	[명사][방언]	NNG	00_00_00	마련	12
매럽다	[형용사][방언]	VA	00_00_00	마렵다	5, 7, 8, 9, 11, 12
매롭다	[형용사][방언]	VA	00_00_00	마렵다	8, 12
매룹다	[형용사][방언]	VA	00_00_00	마렵다	4, 8, 12
매밀	[명사][방언]	NNG	00_00_00	메밀	11, 12, 13, 14, 15, 16, 17, 18, 20
매방석	[명사][방언]	NNG	00_00_00	맷방석	9, 11, 12
매방아	[명사][방언]	NNG	00_00_00	맷돌	5, 12
매살스럽다	[형용사][방언]	VA	00_00_00	독살스럽다	11, 12
매와	[명사][방언]	NNG	00_00_00	매화	5, 11, 12, 15, 16, 18
매웁다	[형용사][방언]	VA	00_00_00	맵다	4, 5, 7, 8, 9, 11, 12, 18
맥방석	[명사][방언]	NNG	00_00_00	맷방석	12
맥히다	[동사][방언]	VV	01_00_00	막히다	4, 5, 6, 7, 8, 9, 11, 12
맨두	[명사][방언]	NNG	00_00_00	만두	4, 12
맨드래미	[명사][방언]	NNG	00_00_00	맨드라미	4, 5, 6, 7, 8, 9, 11, 12, 18, 20
맨드롬하다	[형용사][방언]	VA	00_00_00	반드레하다	11, 12
맨드름하다	[형용사][방언]	VA	00_00_00	반드레하다	11, 12
맨으로	[부사][방언]	MAG	00_00_00	생으로	11, 12
맨자리	[명사][방언]	NNG	00_00_00	왕골자리	12
맬강코	[명사][방언]	NNG	00_00_00	말갛다	8, 12
맬깡	[부사][방언]	MAG	00_00_00	모두	11, 12
맷뱅이	[명사][방언]	NNG	00_00_00	맷방석	11, 12
맹개	[명사][방언]	NNG	00_00_00	맹감	12
맹글다	[동사][방언]	VV	00_00_00	만들다	4, 5, 6, 7, 8, 11, 12, 16
맹꼬이	[명사][방언]	NNG	00_00_00	맹꽁이	4, 6, 7, 12
맹꼴	[명사][방언]	NNG	00_00_00	꼴찌	6, 7, 11, 12, 18, 19
맹이망	[명사][방언]	NNG	00_00_00	밭두둑	12
