표제어	품사	세종태그	어깨번호	뜻풀이	지역
구젱물	[명사][방언]	NNG	00_00_00	뜨물	16
구주럽다	[형용사][방언]	VA	00_00_00	구질구질하다	16
구주술	[명사][방언]	NNG	00_00_00	구둣주걱	16
구죽신	[명사][방언]	NNG	00_00_00	구두	13, 14, 16, 18, 19
구즈렁물	[명사][방언]	NNG	00_00_00	개숫물	16
구춧하다	[형용사][방언]	VA	00_00_00	구저분하다	16
구퉁이	[명사][방언]	NNG	00_00_00	귀퉁이	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
국디	[명사][방언]	NNG	00_00_00	고무래	16
국디기	[명사][방언]	NNG	00_00_00	고무래	15, 16
국떼기	[명사][방언]	NNG	00_00_00	가래떡	16
국띠기	[명사][방언]	NNG	00_00_00	고무래	15, 16
국시	[명사][방언]	NNG	01_00_00	국수	4, 6, 7, 8, 15, 16
군서방	[명사][방언]	NNG	00_00_00	샛서방	15, 16
군춤	[명사][방언]	NNG	00_00_00	군침	16, 18
굴게	[명사][방언]	NNG	00_00_00	굴레	13, 14, 15, 16
굴굴	[감탄사][방언]	IC	00_00_00	구구	14, 15, 16
굴기	[명사][방언]	NNG	01_00_00	그네	16
굴뚝발이	[명사][방언]	NNG	00_00_00	절름발이	15, 16
굴레	[명사][방언]	NNG	03_00_00	그네	6, 15, 16
굴리	[명사][방언]	NNG	02_00_00	그네	16
굴묵	[명사][방언]	NNG	00_00_00	굴뚝	4, 10, 14, 15, 16
굴재	[명사][방언]	NNG	00_00_00	구들미	16, 18
굵닷하다	[형용사][방언]	VA	00_00_00	굵다랗다	16
굼목	[명사][방언]	NNG	00_00_00	굴뚝	15, 16
굼묵	[명사][방언]	NNG	00_00_00	굴뚝	4, 15, 16
굼묵더거리	[명사][방언]	NNG	00_00_00	굴뚝목	16
굼물	[명사][방언]	NNG	02_00_00	그물	15, 16
굼베이	[명사][방언]	NNG	03_00_00	굼벵이	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
굼베지	[명사][방언]	NNG	00_00_00	굼벵이	15, 16
궁게	[명사][방언]	NNG	00_00_00	구멍	6, 7, 15, 16, 18, 20
궁디	[명사][방언]	NNG	02_00_00	궁둥이	6, 7, 8, 9, 14, 15, 16, 18, 19, 20
궁디짝	[명사][방언]	NNG	00_00_00	궁둥짝	16
궁에	[명사][방언]	NNG	00_00_00	구멍	16
궁제	[명사][방언]	NNG	00_00_00	구멍	15, 16
궁주리	[명사][방언]	NNG	00_00_00	둥우리	15, 16, 18, 20
궁치	[명사][방언]	NNG	01_00_00	궁둥이	15, 16
궈래	[대명사][방언]	NP	00_00_00	그대	16
궈매	[명사][방언]	NNG	00_00_00	거머리	16
궤롭다	[형용사][방언]	VA	00_00_00	괴롭다	5, 6, 7, 10, 16
귀구넝	[명사][방언]	NNG	00_00_00	귓구멍	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
귀구양	[명사][방언]	NNG	00_00_00	귓구멍	15, 16
귀띠	[명사][방언]	NNG	00_00_00	귀	16, 18
귀먹대	[명사][방언]	NNG	00_00_00	귀머거리	16, 18
귀먹재	[명사][방언]	NNG	00_00_00	귀머거리	15, 16
귀먹쟁이	[명사][방언]	NNG	00_00_00	귀머거리	4, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18
귀멱대	[명사][방언]	NNG	00_00_00	귀머거리	16
귀미티	[명사][방언]	NNG	00_00_00	귀밑	11, 12, 13, 14, 15, 16, 18, 19, 20
귀바키	[명사][방언]	NNG	00_00_00	귓바퀴	11, 12, 15, 16, 18, 20
귀발	[명사][방언]	NNG	00_00_00	귀얄	15, 16
귀전자	[명사][방언]	NNG	00_00_00	주전자	15, 16
귀창	[명사][방언]	NNG	02_00_00	귀지	12, 15, 16
귀채	[명사][방언]	NNG	00_00_00	귀지	4, 15, 16
귓구넝	[명사][방언]	NNG	00_00_00	귓구멍	16
귓구녕	[명사][방언]	NNG	00_00_00	귓구멍	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
귓구양	[명사][방언]	NNG	00_00_00	귓구멍	6, 7, 15, 16
귓바우리	[명사][방언]	NNG	00_00_00	귓불	16
규와집	[명사][방언]	NNG	00_00_00	기와집	16, 18
그그피	[명사][방언]	NNG	00_00_00	그글피	8, 9, 15, 16, 18
그글페	[명사][방언]	NNG	00_00_00	그글피	4, 9, 12, 13, 14, 15, 16
그느지	[명사][방언]	NNG	00_00_00	그늘	16
그늘지	[명사][방언]	NNG	00_00_00	그늘	16
그러기	[명사][방언]	NNG	02_00_00	기러기	10, 14, 16, 18
그렁물	[명사][방언]	NNG	00_00_00	우물	16
그레기	[명사][방언]	NNG	00_00_00	기러기	16
그름자	[명사][방언]	NNG	00_00_00	그림자	4, 6, 9, 11, 13, 14, 15, 16, 18, 19
그름지	[명사][방언]	NNG	02_00_00	그림자	16, 18
그림재	[명사][방언]	NNG	02_00_00	그림자	4, 6, 8, 13, 14, 15, 16, 18, 19
그림재이	[명사][방언]	NNG	00_00_00	그림쟁이	16
그시다	[동사][방언]	VV	00_00_00	속이다	15, 16
그양저양	[부사][방언]	MAG	00_00_00	그냥저냥	15, 16
그여히	[부사][방언]	MAG	00_00_00	기어이	15, 16
그운	[명사][방언]	NNG	00_00_00	기운	16
그즈렁물	[명사][방언]	NNG	00_00_00	개숫물	16
그쯔슴	[명사][방언]	NNG	01_00_00	그쯤	16
그쯔슴	[부사][방언]	MAG	02_00_00	그쯤	16
그피	[명사][방언]	NNG	00_00_00	글피	9, 16, 18
근마	[부사][방언]	MAG	00_00_00	금방	14, 16
글게	[명사][방언]	NNG	00_00_00	그루	16
글그	[명사][방언]	NNG	01_00_00	그루	16
글그	[명사][의존][방언]	NNB	02_00_00	그루	16
글재	[명사][방언]	NNG	00_00_00	글자	4, 10, 13, 14, 15, 16, 18, 19
글페	[명사][방언]	NNG	00_00_00	글피	4, 11, 14, 15, 16
긁	[명사][방언]	NNG	00_00_00	그루	14, 15, 16
