표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아
웅덩이	[명사][방언]	NNG	00_00_01	 	응디	덤벙, 덤붕, 둔벙, 둘, 듬벙, 뚬붕	덤바, 덤벙, 덤붕, 둔벙, 둘, 둠보, 둠붕	둔벙, 툼벙	둔벙	둔벙, 둠벙, 툼벙	둔벙, 둠벙	 	 	 	옹탕	 	 	 	 	 	 
웅덩이지다	[동사][방언]	VV	00_00_00	 	 	 	 	둠벙지다	 	 	 	 	 	 	 	 	 	 	 	 	 
웅변	[명사][방언]	NNG	00_00_00	웅벤	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
웅성거리다	[동사][방언]	VV	00_00_00	궁성거리다	 	 	 	웅시렁거리다	 	 	 	웅상거리다, 엉성거리다, 응성거리다	 	 	 	 	 	 	 	 	 
웅성웅성	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	두상두상, 움상움상	 	 	 	 	 	 	 	 	 
웅성웅성하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	웅상웅상하다, 응상응상하다	 	 	 	 	 	 	 	 	 
웅숭깊다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	 	 	수메깊다	 	 	 	 	 	 	 
웅어	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	웅에	 	 	 	 	 	 	 
웅얼거리다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	웅얼털다	 	 	 	 	 	 	 	 	 
웅장하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	웅하다	 	 	 	 	 	 	 	 	 
웅절거리다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	부진거리다, 붕얼거리다, 붕장거리다, 붕진거리다	 	 	 	 	 	 	 	 	 
웅절대다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	부진대다, 붕얼대다, 붕장대다, 붕진대다	 	 	 	 	 	 	 	 	 
웅절웅절	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	붕얼붕얼, 붕장붕장, 붕진붕진	 	 	 	 	 	 	 	 	 
웅절웅절하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	붕얼붕얼하다, 붕장붕장하다, 붕진붕진하다	 	 	 	 	 	 	 	 	 
웅치	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	웅취	 	 	 	 	 	 	 	 	 
웅치버슷스리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	웅치버스스리	 	 	 	 	 	 	 
웅크러뜨리다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	웅쿨때리다	 	웅쿨때리다	 	 	 
웅크리다	[동사][방언]	VV	00_00_00	웅쿠리다	 	옹쿠리다, 웅쿠리다	옹쿠리다, 웅쿠리다	웅구리다, 웅그다, 웅기다	 	 	 	웅키다	옹쿠리다	옹쿠리다	옹쿠리다, 우쿠리다, 우쿨서하다, 웅쿠리다	옹쿠리다, 우쿠리다, 웅쿠리다	 	옹쿠리다, 우쿠리다, 웅쿠리다	옹쿠리다	옹쿠리다, 우쿠리다	 
워낙	[부사][방언]	MAG	00_00_00	 	원첨, 원체시리, 안팍	금분, 언층, 엉칸, 원간, 검붕, 근분, 금붕, 언창, 언청, 언칸, 언캉, 원캉	원간, 원창가	원칸, 원팍, 워난간, 워느니, 원큰	워난간, 워느니, 원큰	 	 	 	 	원테, 원틀	원영	원영	 	 	 	 	 
워리	[감탄사][방언]	IC	00_00_00	여와여와	 	너미	너미, 너임너임, 워이	 	 	 	 	어르머, 오요오요	오요오요	구두구두, 오요오요	꼬도꼬도, 오요오요	꼬도꼬도	오요오요	 	 	 	 
워리	[감탄사][방언]	IC	01_00_00	 	 	 	쭉쭉	 	 	 	 	어리머	 	고도고도	고도고도	고도고도	 	 	 	 	 
워워	[감탄사][방언]	IC	00_00_00	 	 	 	널미, 오이미, 워어미	 	 	 	 	 	 	 	 	 	 	 	 	 	 
원	[감탄사][방언]	IC	02_00_00	 	 	온	온	 	 	 	 	 	 	 	 	 	 	 	 	 	 
원두	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	 	심부콩, 원두콩, 할라리콩, 흘리리콩	 	 	 	 
원두막	[명사][방언]	NNG	00_00_00	원도막, 엔두막	 	 	운두막, 웬두막	군두막	 	곤두막	곤두막	웻막, 건들막, 원뒤막, 웨막, 웨막사리	언들막, 원둘막, 원들막	원둘막, 원들막	원디막, 외두막집, 왼두막	원디막	 	 	 	 	 
원두밭	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	원두앝	 	 	 	 	 	 	 
원래	[부사][방언]	MAG	00_00_00	 	 	 	 	왼참, 왼참	 	 	 	 	 	 	옴판, 옴판	옴판, 옴판, 원갓, 원갓	 	 	 	 	 
원만	[명사][방언]	NNG	00_00_00	 	 	 	 	 	언망	 	 	 	 	 	 	 	 	 	 	 	 
원만하다	[형용사][방언]	VA	00_00_00	 	 	 	술술하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
원수	[명사][방언]	NNG	00_00_00	웬수, 웬쑤	엔쑤, 웬수, 웬쑤	웬수	웬수, 웬수등거리	언쑤, 웬수	언쑤	 	왠수, 웬수	원쉬	 	 	웬쑤	 	 	언쑤, 엔쑤	 	웬쑤	 
원수	[명사][방언]	NNG	04_00_00	 	 	 	 	 	 	 	 	 	 	 	원씨	원씨	 	 	 	 	 
