표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아
돌고래	[명사][방언]	NNG	00_00_00	꼽뎅이, 꼽디이	 	곱시기	곱시기	 	 	 	 	감세기, 수어기, 수에기, 수웨기, 수해기	 	 	 	 	 	 	 	 	 
돌구유	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	돌구수	 	 	 	 	 	 	 	 	 	 	 
돌기둥	[명사][방언]	NNG	00_00_00	돌지둥	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌기와	[명사][방언]	NNG	00_00_00	돌재, 돌지와	 	 	 	 	 	돌게와	 	 	 	 	 	 	 	 	 	 	 
돌기와집	[명사][방언]	NNG	00_00_00	돌재집	 	 	 	 	 	 	 	 	 	 	 	 	돌갸집	 	 	 	 
돌김	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	돌늣	 	 	 	 	 	 	 	 	 
돌꼇	[명사][방언]	NNG	00_00_00	 	 	 	돌고지, 돌곳	 	 	 	 	 	 	돌갯	 	 	 	 	 	 	 
돌꼇잠	[명사][방언]	NNG	00_00_00	돌개잠	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌나물	[명사][방언]	NNG	00_00_00	돋나물	 	돈내이, 돈냉이	돌내이, 돌찌이	돈너물, 돋노물	 	 	 	 	 	 	 	 	 	 	 	 	 
돌날	[명사][방언]	NNG	00_00_00	 	 	 	 	똘날	 	 	 	 	 	 	 	 	 	 	 	 	 
돌너덜	[명사][방언]	NNG	00_00_00	 	 	돌너더랑	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌놈	[명사][방언]	NNG	00_00_00	 	 	돌넘	돌눔	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌능금	[명사][방언]	NNG	00_00_00	 	 	 	돌능굼	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌다리	[명사][방언]	NNG	01_00_00	 	 	독다리	 	 	 	 	 	독다리	 	 	 	 	 	 	 	 	 
돌단풍	[명사][방언]	NNG	00_00_00	부체손	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌담	[명사][방언]	NNG	00_00_00	 	 	 	돌댐	독다무락	독다무락, 돌다무락	 	 	돌탐, 잣벡	돌각담	돌각담	줄담	돌각담, 듁담	 	 	 	 	 
돌담	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	둑담	둑담	 	듁	 	 	 	 	 
돌담불	[명사][방언]	NNG	00_00_00	 	 	돌담부락, 돌담부랑	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌대가리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	돌골	 	 	 	 	 
돌덩어리	[명사][방언]	NNG	00_00_00	돌덩거리, 돌등거리	 	돌뜸거리, 독더리, 돌덩거리	돌뜸거리, 돌덩거리	독데아리	 	 	 	 	 	 	 	 	 	 	 	 	 
돌덩이	[명사][방언]	NNG	00_00_00	돌뎅이, 돌디이	 	독딩이, 돌띵이, 독뎅이, 돌데, 돌딩이, 돌띠이, 돌빡	 	독데기, 독데이, 독뎅이, 독때기, 돌데이, 동데이	독뎅이, 독때기	돌딩이	 	 	 	 	돌뎅기	돌뎅기, 돌쟁기	 	돌쟁기	 	 	 
돌둑	[명사][방언]	NNG	00_00_00	 	 	 	 	똘뚝	 	 	 	 	 	 	 	 	 	 	 	 	 
돌땅	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	쇠메질	쇠메질	 	 	 	 	 	 	 	 	 	 
돌띠	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	두름띠	 	 	 	 	 	 	 	 	 
돌띠저고리	[명사][방언]	NNG	00_00_00	 	 	돌띠저구리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌라대다	[동사][방언]	VV	00_00_00	 	 	돌리대다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌려놓다	[동사][방언]	VV	00_00_00	돌레놓다	 	돌리놓다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌려먹다	[동사][방언]	VV	00_00_00	 	 	돌리묵다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌려받다	[동사][방언]	VV	00_00_00	 	 	돌리받다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌려보내다	[동사][방언]	VV	00_00_00	돌레보내다	 	돌리보내다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌려세우다	[동사][방언]	VV	00_00_00	 	 	돌리세우다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌려쓰다	[동사][방언]	VV	00_00_00	돌레씨다	 	돌리스다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌려주다	[동사][방언]	VV	00_00_00	 	 	돌리주다	 	 	 	 	 	 	 	 	돌가주다	돌가주다	 	 	 	 	 
돌려짓기	[명사][방언]	NNG	00_00_00	돌레짓기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌려짓기하다	[동사][방언]	VV	00_00_00	돌레짓기하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌리다	[동사][방언]	VV	00_00_00	 	 	돌류다, 돌류다, 돌이다	 	 	 	 	 	똘리다, 똘이우다	 	 	돌구다, 돌기다	돌구다	 	돌구다, 돌기다	 	돌이다	 
돌림	[명사][방언]	NNG	00_00_00	 	 	돌림뺑이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌림감기	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	돌림부리	돌림부리	 	 	돌김	 	 	 	 	 	 	 
돌림병	[명사][방언]	NNG	00_00_00	 	 	돌림벵	 	돌갯병	 	돌량	 	돌림벵	 	 	 	 	 	 	 	 	 
돌림자	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	돌림재	돌림재	 	 	 	 	 	 	 
돌림턱	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	돌림탁	 	 	 	 	 	 	 
돌마자	[명사][방언]	NNG	00_00_00	돌나리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌멩이	[명사][방언]	NNG	00_00_00	돌메이, 돌미이, 돌밍이	돌팍, 돌밍이, 두팍	독패이, 돌뜸거리, 돌몽싱이, 돌미, 돌뻬이, 돌삐이, 돌패이, 돌핑이, 동밍이, 독메이, 독미이, 독밍이, 독페이, 독펭이, 독핑이, 돌메이, 돌뭉시, 돌뭉싱이, 돌미이, 돌밍이, 돌배시, 돌뼁이, 돌삐, 돌삥, 돌삥이, 돌페이	돌망치, 돌매키, 돌미, 돌삐이, 돌팍, 동밍이, 독미이, 독밍이, 돌멍, 돌메이, 돌메키, 돌뭉치, 돌미이, 돌밍이, 돌뼁이, 돌삥이	도팍, 독팡구, 돌메이, 돌몽생이, 돌몽세이, 돌몽셍이, 돌몽시, 돌밍이, 돌짱, 동뭉데이	독팡구, 돌밍이	독막, 독멩이, 돌막, 돌매기, 돌팍, 돌마, 돌메이, 돌밍이, 둘멩이	돌메이, 돌밍이	독상귀, 독새기, 돌셍기	돌밍이	돌밍이	짜개	돌밍이	돌찌기, 돌막다구, 돌막자구, 돌막지, 돌망구, 돌망이, 돌맨, 돌밍이	 	 	 	 
돌멩이질	[명사][방언]	NNG	00_00_00	 	 	돌메이질	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌멩이질하다	[동사][방언]	VV	00_00_00	 	 	돌메이질하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌무더기	[명사][방언]	NNG	00_00_00	돌무데비, 돌무뎅이	 	돌무디, 돌무디기, 돌무징이	 	 	 	돌무디기	 	머들, 돌무두룸, 머돌, 머둘	 	각닥데미	 	 	 	 	 	 	 
돌무덤	[명사][방언]	NNG	00_00_00	 	 	 	 	독다말	 	 	 	 	 	 	 	 	 	 	 	 	 
돌묵상어	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	모도리	 	 	 	 	 	 	 	 	 
돌미나리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	돌메나리	 	 	 	 	 	 	 
돌방아	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	방애톡	 	 	 	돌바이	 	 	 	 	 
돌배	[명사][방언]	NNG	00_00_00	 	 	쎄배	 	 	 	 	 	꽝배	 	 	 	썅배	 	 	 	 	 
돌배	[명사][방언]	NNG	01_00_01	 	 	 	 	 	 	 	아구배	 	 	 	 	 	 	 	 	 	 
돌배	[명사][방언]	NNG	02_00_00	 	 	 	 	 	 	 	 	 	 	 	 	종배	 	 	 	 	 
돌배나무	[명사][방언]	NNG	00_00_00	돌배낭그	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌벼락	[명사][방언]	NNG	00_00_00	 	 	돌베락	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌벼루	[명사][방언]	NNG	00_00_00	 	 	돌베루	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌보다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	거념하다, 거님하다	 	 	 	 	 	 	 	 	 
돌부리	[명사][방언]	NNG	00_00_00	돌뿌레기	 	돌배이, 돌빙이	돌배이, 돌빙이	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌부처	[명사][방언]	NNG	00_00_00	돌부체	 	돌부체	 	 	 	 	 	통부체	 	 	 	 	 	 	 	 	 
돌뽕나무	[명사][방언]	NNG	00_00_00	 	 	 	 	똘뽕나무	똘뽕나무	 	 	 	 	 	 	 	 	 	 	 	 
돌샘	[명사][방언]	NNG	00_00_00	 	 	 	 	독시암	 	 	 	 	 	 	 	 	 	 	 	 	 
돌소금	[명사][방언]	NNG	00_00_00	 	 	돌소곰	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌아가다	[동사][방언]	VV	00_00_00	돌어가다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌아눕다	[동사][방언]	VV	00_00_00	돌어눕다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌아다니다	[동사][방언]	VV	00_00_00	돌아댕기다, 돌어댕기다	 	돌아대이다, 돌아댄기다, 돌아댕기다	돌아댕기다	돌아댕기다	 	 	 	얼르다	 	 	바라댕기다	 	 	 	 	 	 
돌아들다	[동사][방언]	VV	00_00_00	돌어들다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌아보다	[동사][방언]	VV	00_00_00	돌다보다	 	 	돌어보다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌아서다	[동사][방언]	VV	00_00_00	돌어세다, 돌어스다	 	 	 	돌아스다	 	 	 	 	돌아세다	돌아세다	 	 	 	 	 	 	 
돌아앉다	[동사][방언]	VV	00_00_00	돌어앉다	 	 	 	 	 	외오앉다	외오앉다	 	 	 	 	 	 	 	 	 	 
돌아오다	[동사][방언]	VV	00_00_00	돌어오다	 	 	 	돌오다	 	 	 	 	 	 	 	 	 	 	 	 	 
돌엄마	[명사][방언]	NNG	00_00_00	 	 	 	돌어매	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌연변이	[명사][방언]	NNG	00_00_00	 	 	 	 	똘것	 	 	 	 	 	 	 	 	 	 	 	 	 
돌옷	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	돌버슷	 	 	 	 	 	 
돌이키다	[동사][방언]	VV	00_00_00	돌리키다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌잔치	[명사][방언]	NNG	00_00_00	돌잔차, 돌잔채	 	 	 	똘잔체	똘잔체	 	 	 	 	 	 	 	 	 	 	 	 
돌장이	[명사][방언]	NNG	00_00_00	돌재이	 	돌재이	돌재이	독쟁이	독재이	 	돌재이	 	 	 	 	 	 	 	 	 	 
돌절구	[명사][방언]	NNG	00_00_00	 	 	돌도구통	 	 	독도구	 	 	 	돌덜구	돌덜구	 	 	 	 	 	 	 
돌중	[명사][방언]	NNG	00_00_00	똘중	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌쩌귀	[명사][방언]	NNG	00_00_00	돌꼬지	돌쪼귀, 돌쬐기, 돌쭈기	도짜구, 도쪼구, 돌쭈구, 돌쭈기, 돌쭉, 돌쭉쉬	돌짜기, 돌쩨기, 돌쭉	돌쩨기, 돌쪼굴, 문거리	도쪼고, 돌쭉, 문베기, 문제비	도쪼귀, 도쪼기, 도쪽, 도기쪼기, 독쪼기, 돌쇠, 돌짜기, 돌쩌괴, 돌쩌구이, 돌쩨기, 돌쪼귀, 돌쫄기, 돌쭈귀, 돌쭈기, 또쪼구, 문고비	도쩨구	도절귀, 돌처귀, 돌철귀	돌떠구	돌떠구, 돌뜨구	돌찌	문뎔귀, 문첩시	 	 	 	 	 
돌쩌귀	[명사][방언]	NNG	01_00_00	돌쪼구	 	 	 	 	 	 	돌쪼구	 	 	 	 	 	 	 	 	 	 
돌쩌귀	[명사][방언]	NNG	02_00_00	돌쪽	돌쪼구, 돌쪼기	돌짜구, 돌짝, 돌쪼구, 돌찌개	돌짜구, 돌짝, 돌쩌구	돌쩌구, 돌쪼구, 돌쪽	 	돌짜구, 돌쪼기	돌쪼구	 	돌또구	돌또구	문쪽	문뎌귀, 문쪽	 	 	 	 	 
돌차기	[명사][방언]	NNG	00_00_00	 	 	시차기	이시거리	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌출하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	우둘럿하다, 우둘럿하다, 우들럿하다	 	 	 	 	 	 	 	 	 
돌층계	[명사][방언]	NNG	00_00_00	돌칭계	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌팔매	[명사][방언]	NNG	00_00_00	돌풀매	 	 	 	돌폴매	 	 	 	머드럼	 	 	 	 	돌팡매	 	 	 	 
돌팔매질	[명사][방언]	NNG	00_00_00	 	 	 	 	돌폴매질	돌폴매질	 	 	돌넬림, 머드럼질, 머드레질	 	망패질	돌뿔내기	돌뿌리각질, 돌째기	 	 	 	 	 
돌팔매질하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	머드럼질하다, 머드레질하다	 	 	 	 	 	 	 	 	 
돌팔이	[명사][방언]	NNG	00_00_00	돌폴이	 	 	 	돌포리, 돌폴이, 돌풀이	 	 	 	 	 	 	 	 	 	 	 	 	 
돌팥	[명사][방언]	NNG	00_00_00	 	 	돌퐅	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
돌하르방	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	옹중석	 	 	 	 	 	 	 	 	 
돌화로	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	돌화리	 	 	 	 	 	 	 	 	 
돌확	[명사][방언]	NNG	00_00_00	 	돌황, 확돌, 돌학	호박통, 호배기	학돌	학독, 학돌, 학돔	학도이, 학독, 학돌, 호악돌, 확독	학절구, 확돌, 학도구, 학도기, 학도끼, 학독, 확도구	 	돌호겡이, 돌혹, 확독	 	 	 	 	 	 	 	 	 
돔발상어	[명사][방언]	NNG	00_00_00	 	 	민드미, 돔바리, 민드기	돔배기	돔바리	 	피가리	 	돔바리, 돔바리상의	 	 	 	 	 	 	 	 	 
돕다	[동사][방언]	VV	00_00_00	도웁다	 	 	 	도우다, 도웁다	 	 	도우다	도왜다	 	 	 	 	 	 	 	 	 
돕지	[명사][방언]	NNG	00_00_00	 	 	 	 	덥지, 돔바우, 톱지	덥배	 	 	독지, 덥지	 	 	 	 	 	 	 	 	 
돗바늘	[명사][방언]	NNG	00_00_00	돗바눌, 장대바눌, 장대바늘	 	독바널, 똣바널, 똣바늘, 똣발	독바널, 돌바늘	똣바늘	 	 	굵은바늘	멕바농	 	벨랑침	돌바눌, 돌바늘	 	막대바늘	 	 	 	 
돗자리	[명사][방언]	NNG	00_00_00	 	 	골자리, 방석, 삽자리, 초시기, 똣자리, 목골자리, 초석자리	삭자리, 청석자리, 초시기, 초식자리, 최시기, 초석자리	돗자루	 	 	초석자리	배초석	돗재리	 	도꾸, 돆, 돗보전	도꾸, 독자리, 돆	돗보전	 	 	 	 
동가리	[명사][방언]	NNG	00_00_00	 	 	똥가리	 	 	 	 	동과리	 	 	 	 	 	 	 	 	 	 
동갈메기	[명사][방언]	NNG	00_00_00	 	 	메기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동갈치	[명사][방언]	NNG	00_00_00	 	 	황달치, 동가리갈치	 	청갈치	 	 	 	 	 	 	 	 	공치아재비	 	 	 	 
동갑	[명사][방언]	NNG	00_00_00	 	 	 	 	갑짜리, 동갑걸림	동갑걸림	 	 	 	 	 	 	 	 	 	 	 	 
동갑내기	[명사][방언]	NNG	00_00_00	동개비, 동갭내기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동강	[명사][방언]	NNG	00_00_00	댕아리	 	 	 	돔박, 돔박	 	 	 	 	 	 	 	 	 	 	 	 	 
동강	[명사][방언]	NNG	01_00_00	 	 	동가리	 	동가리	 	 	동가리	 	 	 	 	동가리	 	 	 	 	 
동강동강	[부사][방언]	MAG	00_00_00	댕가리댕가리, 동가리동가리	 	 	 	돔박돔박	돔박돔박	 	 	 	 	 	 	 	 	 	 	 	 
동강이	[명사][방언]	NNG	00_00_00	 	 	똥가리	오동가리	돔방이, 동갈이	돔방이, 동갈이	 	 	 	 	 	 	 	 	 	 	 	 
동격	[명사][방언]	NNG	00_00_00	 	 	동겍	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동경이	[명사][방언]	NNG	00_00_00	 	 	 	뎅겡이	 	 	 	 	꼴리몽크래기	 	 	 	 	 	 	 	 	 
동곳	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	동굿	동굿	 	 	 	 	 	 	 
동그라미	[명사][방언]	NNG	00_00_00	동글래미, 동글뱅이, 똥굴이	 	도루배이, 돌방배이, 동구래미, 동글뱅이, 똥구래미, 똥굴배이, 똥굴뱅이	공똘배이, 돌방배이, 똥굴배이	돌이뱅이, 똥구래미, 똥글배기, 똥글뱅이	똥글배기	띵기래미	 	공돌라기, 공돌레기, 방돌라기, 뱅돌레기	똥그랭이	동구랭이, 동구래미, 똥구랭이, 똥그랭이	동구랭이, 동굴배이, 동굴뱅이	 	댕구라미, 댕그라미, 댕그래, 뎅그라미, 동그래, 동그래미, 동그매, 됭그라미, 됭그매이	 	 	 	 
동그랑쇠	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	둥그렁쇠	 	 	 	 	 	 
동그랗다	[형용사][방언]	VA	00_00_00	동그랍다	 	동구랗다	돌방하다, 뽕그랗다	똥그럽다	동그랍다, 똥그럽다	동그랍다	 	동골락하다, 동그랑하다, 동글락하다, 동글랑하다	 	동구랗다	 	 	 	 	 	 	 
동그래지다	[동사][방언]	VV	00_00_00	동구래지다, 동글래지다	 	동구라지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동그스름하다	[형용사][방언]	VA	00_00_00	 	동구스럽다	 	 	동고롬허다	 	 	 	 	 	동구스름하다	 	 	 	 	 	 	 
동그스름히	[부사][방언]	MAG	00_00_00	 	 	동구수룸이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동글납작하다	[형용사][방언]	VA	00_00_00	동굴납족하다, 동글납족하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동글동글	[부사][방언]	MAG	00_00_00	 	 	돌방돌방, 동굴동굴	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동글동글하다	[형용사][방언]	VA	00_00_00	 	 	돌방돌방하다, 동굴동굴하다, 똥실똥실하다	 	똥골똥골하다	똥골똥골하다	 	 	 	 	 	 	 	 	 	 	 	 
동글하다	[형용사][방언]	VA	00_00_00	 	 	돌방하다, 동구람하다	 	똥굴하다	 	똥글하다	 	 	 	 	 	 	 	 	 	 	 
동기간	[명사][방언]	NNG	00_00_00	동구간	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동나무	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	낭섬비, 섬부쟁이, 섬비	 	 	 	 	 	 	 	 	 
동남동풍	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	처진새	 	 	 	 	 	 	 	 	 	 	 
동남풍	[명사][방언]	NNG	00_00_00	 	 	 	 	수지바람	 	 	 	동마바름, 듯샛바름, 을진풍, 음진풍	 	 	 	 	 	 	 	 	 
동냥	[명사][방언]	NNG	00_00_00	 	 	 	 	동낭, 동녕	 	똥넁	 	동영, 동녕	동낭, 동녕	동낭, 동넝, 동녕	 	 	 	 	 	 	 
동냥아치	[명사][방언]	NNG	00_00_00	동냥바치, 동양아치	동양배기	동나치, 동낭아치, 동냥재이, 동양재이, 동양쟁이	 	동낭치, 동나치, 동냥이, 동냥체, 똥냥아치	동나치, 동나그치, 동낭아치, 똥냥아치	동냥바가치	동냥바지, 동냥배기	걸바시, 걸바지, 걸바치, 걸렁바쉬, 게와시, 동녕바치, 동영바치	동내치, 동넝치	동내치, 동넝꾼, 동넝치	 	 	 	동냥배기	동넝치	 	 
동냥자루	[명사][방언]	NNG	00_00_00	 	 	동냥자리	동양자리	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동냥질	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	동녕질	거랑질	 	 	 	 	 	 	 	 
동냥치	[명사][방언]	NNG	00_00_00	 	 	 	 	동낭지	 	 	 	 	 	 	 	 	 	 	 	 	 
동댕이치다	[동사][방언]	VV	00_00_00	동댕가리치다	 	 	 	 	 	며내부치다	며내부치다	 	메팽가티다	메팽가티다	 	 	 	 	 	 	 
동동주	[명사][방언]	NNG	00_00_00	 	 	 	 	둥벙주	 	 	 	 	 	 	 	 	 	 	 	 	 
동동팔월	[명사][방언]	NNG	00_00_00	 	 	둥둥팔얼	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동록	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	동뢰기	동뢰기	 	 	 	 	 
동록	[명사][방언]	NNG	02_00_00	 	 	 	 	 	 	 	 	 	동눅, 동묵	동눅, 동묵	취	 	 	 	 	 	 
동마루	[명사][방언]	NNG	00_00_00	 	 	 	 	동머리	 	 	 	 	 	 	 	 	 	 	 	 	 
동무	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	동뮈	동뮈	 	 	 	 	 
동무	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	동메, 동미	동미	 	 	 	 	 
동무니	[명사][의존][방언]	NNB	00_00_00	 	 	 	동사이	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동물림	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	세물림	 	 	 	 	 	 	 	 	 
동박새	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	돔박생이	 	 	 	 	 	 	 	 	 
동방구리	[명사][방언]	NNG	00_00_00	톰방구리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동백	[명사][방언]	NNG	01_00_00	동박	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동백기름	[명사][방언]	NNG	00_00_00	동박지름	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동백꽃	[명사][방언]	NNG	00_00_00	동박꽃	 	 	 	 	 	 	 	돔박고장, 돔박꽃	 	 	 	 	 	 	 	 	 
동백나무	[명사][방언]	NNG	00_00_00	동박나무, 동박낭그, 동박낭기	 	 	 	 	 	 	 	돔박낭	 	 	 	 	 	 	 	 	 
동버들개	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	똥고기	똥고기	 	 	 	 	 
동부	[명사][방언]	NNG	00_00_00	 	 	돈부, 돔부, 뽄디	 	덤부, 돈부, 돔보, 돔부, 듬부	 	돔모	 	 	 	 	 	 	 	 	 	 	 
동부	[명사][방언]	NNG	01_00_00	양대	 	돔비, 동불, 동비, 양대	돔비, 동불, 양대	 	 	 	 	돔비	동배	동배	 	 	 	 	 	 	 
동사리	[명사][방언]	NNG	00_00_00	뿌구리	 	 	 	불무탱이	 	 	 	 	 	 	 	 	 	 	 	 	 
동산	[명사][방언]	NNG	00_00_00	 	 	까끔	 	까끔	 	 	 	 	 	 	 	 	 	 	 	 	 
동삼	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	동샘이	동샘이	동샘이	 	동샘이	 	 	 
동상	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	곳은빙	 	 	 	 	 	 	 	 	 
동생	[명사][방언]	NNG	00_00_00	 	 	동숭, 동싱	 	동숭	동쇵	 	 	동숭, 동싱	 	 	 	 	 	 	 	 	 
동생	[명사][방언]	NNG	01_00_00	동상	 	동상	동상	동상, 동숭에	 	동상	동상	 	 	 	동상	동상	 	 	 	 	 
동서	[명사][방언]	NNG	02_00_00	동세	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동서남북	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	동셔냄북	 	 	 	 	 
동성동본	[명사][방언]	NNG	00_00_00	동승동본	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동아줄	[명사][방언]	NNG	00_00_00	 	동아발	 	 	 	 	 	 	 	동애줄	동애줄	 	 	 	 	 	 	 
동업하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	동탑하다	 	 	 	 	 
동여매다	[동사][방언]	VV	00_00_00	동이매다, 되매다, 동고매다, 동에매다, 뒈매다	동겨매다, 됭에매다	댕이매다, 동치매다, 둥치매다	옹쳐매다	뎅기매다, 동게매다	동게매다	옹첨매다	됭여매다	자려무끄다	 	동제매다, 동에매다	 	 	댕여매다	 	 	 	 
동옷	[명사][방언]	NNG	00_00_00	동우	 	 	 	돔방이, 돔방애, 돔방우	돔뱅이	 	 	 	 	 	 	 	 	 	 	 	 
동의나물	[명사][방언]	NNG	00_00_00	앨개지	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동이	[명사][방언]	NNG	00_00_00	동오디이	 	 	 	 	 	 	 	 	 	 	 	도왜	 	도왜	 	 	 
동이	[명사][방언]	NNG	01_00_00	도오, 도우, 동오, 동우	 	동오	도우, 동오	동우	 	동오	동오	 	 	동애, 동왜	 	 	 	 	 	 	 
동이다	[동사][방언]	VV	00_00_00	동기다, 됭기다, 뎅이다, 됭이다, 뒝이다	동기다, 됑기다, 잠매다, 됭이다	댕이다, 동치다, 딩이다, 차매다, 뎅이다, 됭이다, 뒝이다	 	뎅이다, 동게다, 됭이다, 됭키다, 매동가리허다	됭이다	동기다, 뎅이다, 됭이다	동기다, 됭이다	뒝이다	 	 	동지다	동지다, 도이다	 	 	 	 	 
동자개	[명사][방언]	NNG	00_00_00	빠가빠가, 빠가사리, 자가사리	 	 	 	 	 	 	여어동자개	 	빼가리, 황자개	재가리, 황자개	 	 	 	 	 	 	 
동전	[명사][방언]	NNG	05_00_00	 	 	 	 	 	 	 	 	 	 	꾸리전	 	 	 	 	 	 	 
동정	[명사][방언]	NNG	01_00_00	구리	 	동진	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동지섣달	[명사][방언]	NNG	00_00_00	동지슫달	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
동지죽	[명사][방언]	NNG	00_00_00	 	 	동지퐅죽	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
