표제어	품사	세종태그	어깨번호	뜻풀이	지역
꾸레기	[명사][방언]	NNG	02_00_00	부리망	21
꾸즈럼치다	[동사][방언]	VV	00_00_00	꾸지람하다	21
꾸지리다	[동사][방언]	VV	00_00_00	꾸짖다	8, 21
꿔베우리	[명사][방언]	NNG	00_00_00	꿩병아리	18, 21
꿔새끼	[명사][방언]	NNG	00_00_00	꿩병아리	21
꿔이새끼	[명사][방언]	NNG	00_00_00	꿩병아리	21
꿩베우리	[명사][방언]	NNG	00_00_00	꿩병아리	21
꿩베울	[명사][방언]	NNG	00_00_00	꿩병아리	21
끄스레미	[명사][방언]	NNG	02_00_00	까끄라기	21
남봉등잔	[명사][방언]	NNG	00_00_00	남포등	21
내후연	[명사][방언]	NNG	00_00_00	내후년	21
누루다	[형용사][방언]	VA	02_00_00	누르다	13, 14, 15, 16, 18, 19, 21
다련질	[명사][방언]	NNG	00_00_00	다리미질	21
다롤질	[명사][방언]	NNG	00_00_00	다리미질	21
달름질	[명사][방언]	NNG	00_00_00	달음질	21
달음각질	[명사][방언]	NNG	00_00_00	달음박질	21
당사춘	[명사][방언]	NNG	00_00_00	고종사촌	21
대렌질	[명사][방언]	NNG	00_00_00	다리미질	18, 21
댐배쌈지	[명사][방언]	NNG	00_00_00	담배쌈지	9, 21
두벌사돈	[명사][방언]	NNG	00_00_00	겹사돈	7, 21
두짓간	[명사][방언]	NNG	00_00_00	곳간	21
등곱재	[명사][방언]	NNG	00_00_00	곱사등이	21
따근밥	[명사][방언]	NNG	00_00_00	더운밥	21
때꼬리	[명사][방언]	NNG	00_00_00	도꼬마리	18, 21
똘리막	[명사][방언]	NNG	00_00_00	오두막	21
뜬누이	[명사][방언]	NNG	00_00_00	뜬소경	21
뜬세게	[명사][방언]	NNG	00_00_00	뜬소경	21
람빠불	[명사][방언]	NNG	00_00_00	남포등	21
맏아바네	[명사][방언]	NNG	01_00_00	고모부	18, 21
맏아바네	[감탄사][방언]	IC	02_00_00	고모부	18, 21
맏아바니	[명사][방언]	NNG	03_00_00	고모부	18, 21
맏아바니	[감탄사][방언]	IC	04_00_00	고모부	18, 21
말술기	[명사][방언]	NNG	00_00_00	말수레	21
모사춘	[명사][방언]	NNG	00_00_00	고종사촌	21
못빼개	[명사][방언]	NNG	00_00_00	못뽑이	21
무꾸김치	[명사][방언]	NNG	00_00_00	무김치	21
바같	[명사][방언]	NNG	00_00_00	바깥	6, 21
바까락	[명사][방언]	NNG	00_00_00	발가락	21
바깨미	[명사][방언]	NNG	00_00_00	개미	21
바꼬락	[명사][방언]	NNG	00_00_00	발가락	21
